Input Read
s: 86total: 86
s: 71total: 157
s: 89total: 246
s: 98total: 344
s: 63total: 407
s: 76total: 483
s: 86total: 569
s: 39total: 608
s: 28total: 636
s: 38total: 674
s: 33total: 707
s: 24total: 731
s: 14total: 745
s: 56total: 801
s: 28total: 829
s: 42total: 871
s: 72total: 943
s: 81total: 1024
s: 31total: 1055
s: 99total: 1154
s: 56total: 1210
s: 42total: 1252
s: 44total: 1296
s: 33total: 1329
s: 43total: 1372
s: 73total: 1445
s: 14total: 1459
s: 52total: 1511
s: 78total: 1589
s: 17total: 1606
s: 49total: 1655
s: 31total: 1686
s: 34total: 1720
s: 74total: 1794
s: 64total: 1858
s: 82total: 1940
s: 13total: 1953
s: 66total: 2019
s: 54total: 2073
s: 14total: 2087
s: 63total: 2150
s: 55total: 2205
s: 84total: 2289
s: 44total: 2333
s: 85total: 2418
s: 89total: 2507
s: 84total: 2591
s: 59total: 2650
s: 77total: 2727
s: 31total: 2758
s: 82total: 2840
s: 55total: 2895
s: 65total: 2960
s: 78total: 3038
s: 62total: 3100
s: 84total: 3184
s: 89total: 3273
s: 88total: 3361
s: 42total: 3403
s: 72total: 3475
s: 19total: 3494
s: 58total: 3552
s: 36total: 3588
s: 88total: 3676
s: 29total: 3705
s: 29total: 3734
s: 22total: 3756
s: 37total: 3793
s: 15total: 3808
s: 52total: 3860
s: 87total: 3947
s: 19total: 3966
s: 31total: 3997
s: 82total: 4079
s: 71total: 4150
s: 17total: 4167
s: 51total: 4218
s: 17total: 4235
s: 76total: 4311
s: 46total: 4357
s: 63total: 4420
s: 33total: 4453
s: 68total: 4521
s: 67total: 4588
s: 63total: 4651
s: 99total: 4750
s: 92total: 4842
s: 96total: 4938
s: 87total: 5025
s: 85total: 5110
s: 34total: 5144
s: 78total: 5222
s: 34total: 5256
s: 55total: 5311
s: 62total: 5373
s: 51total: 5424
s: 45total: 5469
s: 44total: 5513
s: 34total: 5547
s: 56total: 5603
s: 55total: 5658
s: 76total: 5734
s: 46total: 5780
s: 11total: 5791
s: 46total: 5837
s: 86total: 5923
s: 45total: 5968
s: 55total: 6023
s: 67total: 6090
s: 53total: 6143
s: 98total: 6241
s: 69total: 6310
s: 82total: 6392
s: 76total: 6468
s: 54total: 6522
s: 35total: 6557
s: 72total: 6629
s: 97total: 6726
s: 35total: 6761
s: 89total: 6850
s: 36total: 6886
s: 52total: 6938
s: 73total: 7011
s: 43total: 7054
s: 35total: 7089
s: 52total: 7141
s: 61total: 7202
s: 16total: 7218
s: 42total: 7260
s: 37total: 7297
s: 31total: 7328
s: 33total: 7361
s: 45total: 7406
s: 16total: 7422
s: 22total: 7444
s: 22total: 7466
s: 35total: 7501
s: 88total: 7589
s: 71total: 7660
s: 33total: 7693
s: 59total: 7752
s: 36total: 7788
s: 28total: 7816
s: 19total: 7835
s: 73total: 7908
s: 75total: 7983
s: 46total: 8029
s: 69total: 8098
s: 28total: 8126
s: 28total: 8154
s: 78total: 8232
s: 47total: 8279
s: 12total: 8291
s: 41total: 8332
s: 89total: 8421
s: 47total: 8468
s: 29total: 8497
s: 18total: 8515
s: 88total: 8603
s: 21total: 8624
s: 98total: 8722
s: 13total: 8735
s: 27total: 8762
s: 51total: 8813
s: 64total: 8877
s: 82total: 8959
s: 49total: 9008
s: 53total: 9061
s: 53total: 9114
s: 95total: 9209
s: 98total: 9307
s: 96total: 9403
s: 83total: 9486
s: 11total: 9497
s: 44total: 9541
s: 67total: 9608
s: 76total: 9684
s: 18total: 9702
s: 33total: 9735
s: 23total: 9758
s: 69total: 9827
s: 93total: 9920
s: 72total: 9992
s: 81total: 10073
s: 83total: 10156
s: 11total: 10167
s: 46total: 10213
s: 28total: 10241
s: 93total: 10334
s: 78total: 10412
s: 12total: 10424
s: 18total: 10442
s: 92total: 10534
s: 48total: 10582
s: 48total: 10630
s: 27total: 10657
s: 36total: 10693
s: 39total: 10732
s: 92total: 10824
s: 76total: 10900
s: 52total: 10952
s: 23total: 10975
s: 93total: 11068
s: 75total: 11143
s: 68total: 11211
s: 64total: 11275
s: 71total: 11346
s: 65total: 11411
s: 23total: 11434
s: 25total: 11459
s: 62total: 11521
s: 15total: 11536
s: 26total: 11562
s: 72total: 11634
s: 81total: 11715
s: 16total: 11731
s: 66total: 11797
s: 55total: 11852
s: 54total: 11906
s: 79total: 11985
s: 52total: 12037
s: 97total: 12134
s: 12total: 12146
s: 25total: 12171
s: 66total: 12237
s: 36total: 12273
s: 19total: 12292
s: 94total: 12386
s: 75total: 12461
s: 31total: 12492
s: 65total: 12557
s: 25total: 12582
s: 92total: 12674
s: 22total: 12696
s: 83total: 12779
s: 57total: 12836
s: 25total: 12861
s: 62total: 12923
s: 11total: 12934
s: 22total: 12956
s: 38total: 12994
s: 52total: 13046
s: 68total: 13114
s: 91total: 13205
s: 99total: 13304
s: 35total: 13339
s: 43total: 13382
s: 78total: 13460
s: 46total: 13506
s: 38total: 13544
s: 51total: 13595
s: 99total: 13694
s: 93total: 13787
s: 72total: 13859
s: 52total: 13911
s: 57total: 13968
s: 76total: 14044
s: 82total: 14126
s: 12total: 14138
s: 98total: 14236
s: 76total: 14312
s: 76total: 14388
s: 16total: 14404
s: 88total: 14492
s: 77total: 14569
s: 95total: 14664
s: 89total: 14753
s: 42total: 14795
s: 97total: 14892
s: 42total: 14934
s: 26total: 14960
s: 51total: 15011
s: 88total: 15099
s: 64total: 15163
s: 47total: 15210
s: 14total: 15224
s: 16total: 15240
s: 73total: 15313
s: 64total: 15377
s: 76total: 15453
s: 48total: 15501
s: 25total: 15526
s: 53total: 15579
s: 88total: 15667
s: 33total: 15700
s: 17total: 15717
s: 45total: 15762
s: 32total: 15794
s: 88total: 15882
s: 73total: 15955
s: 31total: 15986
s: 72total: 16058
s: 92total: 16150
s: 85total: 16235
s: 73total: 16308
s: 77total: 16385
s: 74total: 16459
s: 56total: 16515
s: 28total: 16543
s: 85total: 16628
s: 87total: 16715
s: 79total: 16794
s: 17total: 16811
s: 17total: 16828
s: 43total: 16871
s: 41total: 16912
s: 73total: 16985
s: 69total: 17054
s: 72total: 17126
s: 31total: 17157
s: 36total: 17193
s: 17total: 17210
s: 79total: 17289
s: 17total: 17306
s: 88total: 17394
s: 46total: 17440
s: 62total: 17502
s: 95total: 17597
s: 76total: 17673
s: 62total: 17735
s: 43total: 17778
s: 53total: 17831
s: 84total: 17915
s: 34total: 17949
s: 69total: 18018
s: 72total: 18090
s: 77total: 18167
s: 63total: 18230
s: 27total: 18257
s: 69total: 18326
s: 24total: 18350
s: 99total: 18449
s: 66total: 18515
s: 73total: 18588
s: 63total: 18651
s: 76total: 18727
s: 53total: 18780
s: 69total: 18849
s: 26total: 18875
s: 88total: 18963
s: 77total: 19040
s: 62total: 19102
s: 26total: 19128
s: 93total: 19221
s: 19total: 19240
s: 42total: 19282
s: 88total: 19370
s: 46total: 19416
s: 22total: 19438
s: 73total: 19511
s: 28total: 19539
s: 31total: 19570
s: 97total: 19667
s: 87total: 19754
s: 57total: 19811
s: 64total: 19875
s: 69total: 19944
s: 53total: 19997
s: 99total: 20096
s: 23total: 20119
s: 99total: 20218
s: 27total: 20245
s: 24total: 20269
s: 33total: 20302
s: 76total: 20378
s: 96total: 20474
s: 93total: 20567
s: 89total: 20656
s: 37total: 20693
s: 98total: 20791
s: 55total: 20846
s: 14total: 20860
s: 73total: 20933
s: 22total: 20955
s: 74total: 21029
s: 98total: 21127
s: 83total: 21210
s: 76total: 21286
s: 93total: 21379
s: 78total: 21457
s: 99total: 21556
s: 41total: 21597
s: 33total: 21630
s: 64total: 21694
s: 46total: 21740
s: 24total: 21764
s: 88total: 21852
s: 48total: 21900
